Species,Weight,Length1,Length2,Length3,Height,Width
Parkki,85,17.8,19.6,20.8,5.1376,3.0368
Parkki,85,18.2,20,21,5.082,2.772
Parkki,110,19,21,22.5,5.6925,3.555
Parkki,115,19,21,22.5,5.9175,3.3075
Parkki,125,19,21,22.5,5.6925,3.6675
Parkki,130,19.3,21.3,22.8,6.384,3.534
Parkki,120,20,22,23.5,6.11,3.4075
Parkki,120,20,22,23.5,5.64,3.525
Parkki,130,20,22,23.5,6.11,3.525
Parkki,135,20,22,23.5,5.875,3.525
Parkki,110,20,22,23.5,5.5225,3.995
Parkki,130,20.5,22.5,24,5.856,3.624
Parkki,150,20.5,22.5,24,6.792,3.624
Parkki,145,20.7,22.7,24.2,5.9532,3.63
Parkki,150,21,23,24.5,5.2185,3.626
Parkki,170,21.5,23.5,25,6.275,3.725
Parkki,225,22,24,25.5,7.293,3.723
Parkki,145,22,24,25.5,6.375,3.825
Parkki,188,22.6,24.6,26.2,6.7334,4.1658
Parkki,180,23,25,26.5,6.4395,3.6835
Parkki,197,23.5,25.6,27,6.561,4.239
Parkki,218,25,26.5,28,7.168,4.144
Parkki,300,25.2,27.3,28.7,8.323,5.1373
Parkki,260,25.4,27.5,28.9,7.1672,4.335
Parkki,265,25.4,27.5,28.9,7.0516,4.335
Parkki,250,25.4,27.5,28.9,7.2828,4.5662
Parkki,250,25.9,28,29.4,7.8204,4.2042
Parkki,300,26.9,28.7,30.1,7.5852,4.6354
Parkki,320,27.8,30,31.6,7.6156,4.7716
Parkki,514,30.5,32.8,34,10.03,6.018
Parkki,556,32,34.5,36.5,10.2565,6.3875
Parkki,840,32.5,35,37.3,11.4884,7.7957
Parkki,685,34,36.5,39,10.881,6.864
Parkki,700,34,36,38.3,10.6091,6.7408
Parkki,700,34.5,37,39.4,10.835,6.2646
Parkki,690,34.6,37,39.3,10.5717,6.3666
Parkki,900,36.5,39,41.4,11.1366,7.4934
Parkki,650,36.5,39,41.4,11.1366,6.003
Parkki,820,36.6,39,41.3,12.4313,7.3514
Parkki,850,36.9,40,42.3,11.9286,7.1064
Parkki,900,37,40,42.5,11.73,7.225
Parkki,1015,37,40,42.4,12.3808,7.4624
Parkki,820,37.1,40,42.5,11.135,6.63
Parkki,1100,39,42,44.6,12.8002,6.8684
Parkki,1000,39.8,43,45.2,11.9328,7.2772
Parkki,1100,40.1,43,45.5,12.5125,7.4165
Parkki,1000,40.2,43.5,46,12.604,8.142
Parkki,1000,41.1,44,46.6,12.4888,7.5958
American pickerel,200,30,32.3,34.8,5.568,3.3756
American pickerel,300,31.7,34,37.8,5.7078,4.158
American pickerel,300,32.7,35,38.8,5.9364,4.3844
American pickerel,300,34.8,37.3,39.8,6.2884,4.0198
American pickerel,430,35.5,38,40.5,7.29,4.5765
American pickerel,345,36,38.5,41,6.396,3.977
American pickerel,456,40,42.5,45.5,7.28,4.3225
American pickerel,510,40,42.5,45.5,6.825,4.459
American pickerel,540,40.1,43,45.8,7.786,5.1296
American pickerel,500,42,45,48,6.96,4.896
American pickerel,567,43.2,46,48.7,7.792,4.87
American pickerel,770,44.8,48,51.2,7.68,5.376
American pickerel,950,48.3,51.7,55.1,8.9262,6.1712
American pickerel,1250,52,56,59.7,10.6863,6.9849
American pickerel,1600,56,60,64,9.6,6.144
American pickerel,1550,56,60,64,9.6,6.144
American pickerel,1650,59,63.4,68,10.812,7.48
muskellunge,1600.8,9.3,9.8,10.8,1.7388,1.0476
muskellunge,1702,10,10.5,11.6,1.972,1.16
muskellunge,1784,10.1,10.6,11.6,1.7284,1.1484
muskellunge,1777,10.4,11,12,2.196,1.38
muskellunge,1778,10.7,11.2,12.4,2.0832,1.2772
muskellunge,1777,10.8,11.3,12.6,1.9782,1.2852
muskellunge,1778,11.3,11.8,13.1,2.2139,1.2838
muskellunge,1777,11.3,11.8,13.1,2.2139,1.1659
muskellunge,1778,11.4,12,13.2,2.2044,1.1484
muskellunge,1777,11.5,12.2,13.4,2.0904,1.3936
muskellunge,1778,11.7,12.4,13.5,2.43,1.269
muskellunge,1777,12.1,13,13.8,2.277,1.2558
muskellunge,1778,13.2,14.3,15.2,2.8728,2.0672
muskellunge,1777,13.8,15,16.2,2.9322,1.8792
